comment;cleaned;normalisasi;filtered;steming_data;sentiment
Gw baru beli hp dari rekomendasi video ini;gw baru beli hp dari rekomendasi video ini;['gue', 'baru', 'beli', 'hp', 'dari', 'rekomendasi', 'video', 'ini'];['gue', 'beli', 'hp', 'rekomendasi', 'video'];['gue', 'beli', 'hp', 'rekomendasi', 'video'];netral
Kalau beli hp Motorola itu, bakal tahan lama gak?;kalau beli hp motorola itu bakal tahan lama gak;['kalau', 'beli', 'hp', 'motorola', 'itu', 'bakal', 'tahan', 'lama', 'tidak'];['beli', 'hp', 'motorola', 'tahan'];['beli', 'hp', 'motorola', 'tahan'];netral
Vivo y29  ada kah pak;vivo y  ada kah pak;['vivo', 'ya', 'ada', 'kah', 'pak'];['vivo', 'ya', 'kah'];['vivo', 'ya', 'kah'];netral
Hp saya manja,,layarnya minta dielus elus terus..kadang pakai baju atau tisu,yg ad dideketq lah.  Layarnya manja...mau beli lagi kudu sabaaarrrr😅;hp saya manjalayarnya minta dielus elus teruskadang pakai baju atau tisuyg ad dideketq lah  layarnya manjamau beli lagi kudu sabaaarrrr;['hp', 'saya', 'manjalayarnya', 'meminta', 'dielus', 'elus', 'teruskadang', 'pakai', 'baju', 'atau', 'tisuyg', 'ada', 'dideketq', 'lah', 'layarnya', 'manjamau', 'beli', 'lagi', 'kudu', 'sabaaarrrr'];['hp', 'manjalayarnya', 'dielus', 'elus', 'teruskadang', 'pakai', 'baju', 'tisuyg', 'dideketq', 'layarnya', 'manjamau', 'beli', 'kudu', 'sabaaarrrr'];['hp', 'manjalayarnya', 'elus', 'elus', 'teruskadang', 'pakai', 'baju', 'tisuyg', 'dideketq', 'layar', 'manjamau', 'beli', 'kudu', 'sabaaarrrr'];netral
Bang, kirimin hp dong kl ada rejeki 😁buat pelayanan di panti lansia, wisma lansia harapan asri, jln tusam raya no 2 A, banyumanik semarang;bang kirimin hp dong kl ada rejeki buat pelayanan di panti lansia wisma lansia harapan asri jln tusam raya no  a banyumanik semarang;['abang', 'mengirimi', 'hp', 'dong', 'kalau', 'ada', 'rejeki', 'buat', 'pelayanan', 'di', 'panti', 'lansia', 'wisma', 'lansia', 'harapan', 'asri', 'jalan', 'tusam', 'raya', 'no', 'a', 'banyumanik', 'semarang'];['abang', 'mengirimi', 'hp', 'rejeki', 'pelayanan', 'panti', 'lansia', 'wisma', 'lansia', 'harapan', 'asri', 'jalan', 'tusam', 'raya', 'no', 'a', 'banyumanik', 'semarang'];['abang', 'kirim', 'hp', 'rejeki', 'layan', 'panti', 'lansia', 'wisma', 'lansia', 'harap', 'asri', 'jalan', 'tusam', 'raya', 'no', 'a', 'banyumanik', 'semarang'];positif
Beli poco F5 masih bagus GK sih?;beli poco f masih bagus gk sih;['beli', 'poco', 'f', 'masih', 'bagus', 'tidak', 'sih'];['beli', 'poco', 'f', 'bagus', 'sih'];['beli', 'poco', 'f', 'bagus', 'sih'];netral
Hp saya itu di tamnel 😁;hp saya itu di tamnel;['hp', 'saya', 'itu', 'di', 'tamnel'];['hp', 'tamnel'];['hp', 'tamnel'];netral
Infinix note 50?;infinix note;['infinix', 'note'];['infinix', 'note'];['infinix', 'note'];netral
Iya​@@FERINAS1;iya;['iya'];['iya'];['iya'];netral
Bang Minta rekomendasi Hp Buat Ojek Online yg Tahan kalo di Bawa panas²an di bawah Matahari ,Layar tetep jelas buat Liat GPS sama Batrai awet seharian Narik budget 2jt an 🙏🏻.;bang minta rekomendasi hp buat ojek online yg tahan kalo di bawa panasan di bawah matahari layar tetep jelas buat liat gps sama batrai awet seharian narik budget jt an;['abang', 'meminta', 'rekomendasi', 'hp', 'buat', 'ojek', 'online', 'yang', 'tahan', 'kalau', 'di', 'bawa', 'panasan', 'di', 'bawah', 'matahari', 'layar', 'tetap', 'jelas', 'buat', 'lihat', 'gps', 'sama', 'batrai', 'awet', 'seharian', 'menarik', 'budget', 'juta', 'an'];['abang', 'rekomendasi', 'hp', 'ojek', 'online', 'tahan', 'bawa', 'panasan', 'matahari', 'layar', 'lihat', 'gps', 'batrai', 'awet', 'seharian', 'menarik', 'budget', 'juta', 'an'];['abang', 'rekomendasi', 'hp', 'ojek', 'online', 'tahan', 'bawa', 'panas', 'matahari', 'layar', 'lihat', 'gps', 'batrai', 'awet', 'hari', 'tarik', 'budget', 'juta', 'an'];positif
mas kalo merk vivo kok g masuk kategori y? pa krg bagus n worth it;mas kalo merk vivo kok g masuk kategori y pa krg bagus n worth it;['mas', 'kalau', 'merk', 'vivo', 'kok', 'tidak', 'masuk', 'kategori', 'ya', 'apa', 'krg', 'bagus', 'n', 'worth', 'itu'];['mas', 'merk', 'vivo', 'masuk', 'kategori', 'ya', 'krg', 'bagus', 'n', 'worth'];['mas', 'merk', 'vivo', 'masuk', 'kategori', 'ya', 'krg', 'bagus', 'n', 'worth'];netral
Untuk harga 6 - 8 jt ke atas menurut saya masih mending memilih ios;untuk harga    jt ke atas menurut saya masih mending memilih ios;['untuk', 'harga', 'juta', 'ke', 'atas', 'menurut', 'saya', 'masih', 'mending', 'memilih', 'ios'];['harga', 'juta', 'mending', 'memilih', 'ios'];['harga', 'juta', 'mending', 'pilih', 'ios'];positif
samsung ko jarang yaa huhuhu;samsung ko jarang yaa huhuhu;['samsung', 'kok', 'jarang', 'ya', 'huhuhu'];['samsung', 'jarang', 'ya', 'huhuhu'];['samsung', 'jarang', 'ya', 'huhuhu'];negatif
Bang klo gue mnding infinix note 50 4g karena bnr dr spek dan harga nanggung🎉;bang klo gue mnding infinix note  g karena bnr dr spek dan harga nanggung;['abang', 'kalau', 'gue', 'mending', 'infinix', 'note', 'tidak', 'karena', 'benar', 'dari', 'spek', 'dan', 'harga', 'nanggung'];['abang', 'gue', 'mending', 'infinix', 'note', 'spek', 'harga', 'nanggung'];['abang', 'gue', 'mending', 'infinix', 'note', 'spek', 'harga', 'nanggung'];positif
Bang mending realmi 14c atau Poco c75;bang mending realmi c atau poco c;['abang', 'mending', 'realmi', 'sih', 'atau', 'poco', 'sih'];['abang', 'mending', 'realmi', 'sih', 'poco', 'sih'];['abang', 'mending', 'realmi', 'sih', 'poco', 'sih'];positif
Sama aja jir😂 cuma beda dikit doang;sama aja jir cuma beda dikit doang;['sama', 'saja', 'jir', 'cuma', 'beda', 'dikit', 'doang'];['jir', 'beda', 'dikit', 'doang'];['jir', 'beda', 'dikit', 'doang'];netral
ok;ok;['ok'];['ok'];['ok'];netral
