comment;author;author_id;date;likes;video_id
Gw baru beli hp dari rekomendasi video ini;@YosAndrew-d8z;UCfnnrtgnZBhIPuGjbO9c2Bw;2025-07-10T06:26:36Z;0;X4zat0Jc60s
Kalau beli hp Motorola itu, bakal tahan lama gak?;@bagusjumawan5230;UCQGWuXkt3aF0GgtxyTjkhKA;2025-07-08T15:02:10Z;0;X4zat0Jc60s
Vivo y29  ada kah pak;@darmhypxx;UChvW91o0lYPw5a6QykXuyAw;2025-07-07T14:18:53Z;0;X4zat0Jc60s
Hp saya manja,,layarnya minta dielus elus terus..kadang pakai baju atau tisu,yg ad dideketq lah.  Layarnya manja...mau beli lagi kudu sabaaarrrr😅;@khairamommy3092;UC0sMU-Tc4dK1sRCX1v4ph_A;2025-07-07T04:07:23Z;0;X4zat0Jc60s
Bang, kirimin hp dong kl ada rejeki 😁buat pelayanan di panti lansia, wisma lansia harapan asri, jln tusam raya no 2 A, banyumanik semarang;@bonitio7274;UCc0vY0mxVIHNGMQdyqlXmbA;2025-07-07T03:57:43Z;0;X4zat0Jc60s
Beli poco F5 masih bagus GK sih?;@bintangnikd9924;UCwLifDSjjh7zJkkfRtHMYTQ;2025-07-07T01:15:12Z;0;X4zat0Jc60s
Hp saya itu di tamnel 😁;@Parwan2-g5r;UCsacCXqHlXIDBS7aacUDYwA;2025-07-06T13:57:44Z;0;X4zat0Jc60s
Infinix note 50?;@FERINAS1;UCVhzJ64JJQuVUDqsX5HA46g;2025-07-08T08:25:43Z;0;X4zat0Jc60s
Iya​@@FERINAS1;@Parwan2-g5r;UCsacCXqHlXIDBS7aacUDYwA;2025-07-08T10:09:24Z;0;X4zat0Jc60s
Bang Minta rekomendasi Hp Buat Ojek Online yg Tahan kalo di Bawa panas²an di bawah Matahari ,Layar tetep jelas buat Liat GPS sama Batrai awet seharian Narik budget 2jt an 🙏🏻.;@soldiermutashiddiq293;UCINHtdTYrOEwyH6R8WQg2Rw;2025-07-06T12:37:58Z;0;X4zat0Jc60s
mas kalo merk vivo kok g masuk kategori y? pa krg bagus n worth it;@amaliaalkatiri6347;UCkStH_YeD-JkgB3HNFDbp0w;2025-07-06T11:56:19Z;0;X4zat0Jc60s
Untuk harga 6 - 8 jt ke atas menurut saya masih mending memilih ios;@xSpicyboy;UCKuXd1otvvRsU7Ds5HCID9g;2025-07-04T23:25:17Z;0;X4zat0Jc60s
samsung ko jarang yaa huhuhu;@nunggaldwiinurr2774;UC36YSa_qdaYNiIYNE6TmMRg;2025-07-04T23:25:11Z;0;X4zat0Jc60s
Bang klo gue mnding infinix note 50 4g karena bnr dr spek dan harga nanggung🎉;@muhamadalviansyah9039;UCfITGe7tKHJoFhm9yV9-fKw;2025-07-04T13:59:58Z;0;X4zat0Jc60s
