;Unnamed: 0;komentar;label;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
0;0;<username> Simulasi indonesia kembali dijajah keturunan belanda kedepan... bye bye talenta anak bangsa lokal indonesia... bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya...;negatif; simulasi indonesia kembali dijajah keturunan belanda kedepan bye bye talenta anak bangsa lokal indonesia bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya;['simulasi', 'indonesia', 'kembali', 'dijajah', 'keturunan', 'belanda', 'kedepan', 'bye', 'bye', 'talenta', 'anak', 'bangsa', 'lokal', 'indonesia', 'bubarkan', 'liga', 'dan', 'pencarian', 'bibit', 'unggul', 'atlet', 'bola', 'drpd', 'rusak', 'mental', 'anak', 'bangsanya'];['simulasi', 'indonesia', 'kembali', 'dijajah', 'keturunan', 'belanda', 'kedepan', 'bye', 'bye', 'talenta', 'anak', 'bangsa', 'lokal', 'indonesia', 'bubarkan', 'liga', 'dan', 'pencarian', 'bibit', 'unggul', 'atlet', 'bola', 'drpd', 'rusak', 'mental', 'anak', 'bangsanya'];simulasi indonesia kembali dijajah keturunan belanda kedepan bye bye talenta anak bangsa lokal indonesia bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya;simulasi indonesia kembali dijajah keturunan belanda kedepan bye bye talenta anak bangsa lokal indonesia bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya;simulasi indonesia jajah turun belanda depan bye bye talenta anak bangsa lokal indonesia bubar liga cari bibit unggul atlet bola drpd rusak mental anak bangsa
1;1;<username> <username> <username> keturunan lain yang gak main bola emang bisa di naturalisasi istimewa?   kepentingan negara itu sesuatu yg subjektif tergantung petingginya. akal akalan.  naturalisasi biasa wajib bisa bahasa indonesia.;negatif;   keturunan lain yang gak main bola emang bisa di naturalisasi istimewa kepentingan negara itu sesuatu yg subjektif tergantung petingginya akal akalan naturalisasi biasa wajib bisa bahasa indonesia;['keturunan', 'lain', 'yang', 'gak', 'main', 'bola', 'emang', 'bisa', 'di', 'naturalisasi', 'istimewa', 'kepentingan', 'negara', 'itu', 'sesuatu', 'yg', 'subjektif', 'tergantung', 'petingginya', 'akal', 'akalan', 'naturalisasi', 'biasa', 'wajib', 'bisa', 'bahasa', 'indonesia'];['keturunan', 'lain', 'yang', 'gak', 'main', 'bola', 'emang', 'bisa', 'di', 'naturalisasi', 'istimewa', 'kepentingan', 'negara', 'itu', 'sesuatu', 'yg', 'subjektif', 'tergantung', 'petingginya', 'akal', 'akalan', 'naturalisasi', 'biasa', 'wajib', 'bisa', 'bahasa', 'indonesia'];keturunan lain yang gak main bola emang bisa di naturalisasi istimewa kepentingan negara itu sesuatu yg subjektif tergantung petingginya akal akalan naturalisasi biasa wajib bisa bahasa indonesia;keturunan lain yang gak main bola emang bisa di naturalisasi istimewa kepentingan negara itu sesuatu yg subjektif tergantung petingginya akal akalan naturalisasi biasa wajib bisa bahasa indonesia;turun yang gak main bola emang di naturalisasi istimewa penting negara sesuatu subjektif gantung petinggi akal akal naturalisasi biasa wajib bahasa indonesia
2;2;<username> <username> uda botak keturunan penjajah, sok si paling paham tentang bola lu. Coach mentok karir ngelatih futsal aja sok oke lu anjing;negatif;  uda botak keturunan penjajah sok si paling paham tentang bola lu coach mentok karir ngelatih futsal aja sok oke lu anjing;['uda', 'botak', 'keturunan', 'penjajah', 'sok', 'si', 'paling', 'paham', 'tentang', 'bola', 'lu', 'coach', 'mentok', 'karir', 'ngelatih', 'futsal', 'aja', 'sok', 'oke', 'lu', 'anjing'];['uda', 'botak', 'keturunan', 'penjajah', 'sok', 'si', 'paling', 'paham', 'tentang', 'bola', 'lu', 'coach', 'mentok', 'karir', 'ngelatih', 'futsal', 'aja', 'sok', 'oke', 'lu', 'anjing'];uda botak keturunan penjajah sok si paling paham tentang bola lu coach mentok karir ngelatih futsal aja sok oke lu anjing;uda botak keturunan penjajah sok si paling paham tentang bola lu coach mentok karir ngelatih futsal aja sok oke lu anjing;uda botak turun jajah sok si paling paham bola lu coach mentok karir ngelatih futsal aja sok oke lu anjing
3;3;<username> <username> <username> Belum tentu, gak semuanya jadi pemain bola. Dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas. Kalau PSSI cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri.;negatif;   belum tentu gak semuanya jadi pemain bola dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas kalau pssi cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri;['belum', 'tentu', 'gak', 'semuanya', 'jadi', 'pemain', 'bola', 'dan', 'yg', 'milih', 'karir', 'sebagai', 'pemain', 'bola', 'pun', 'belum', 'tentu', 'kualitasnya', 'cukup', 'buat', 'timnas', 'kalau', 'pssi', 'cuma', 'fokus', 'ke', 'pemain', 'keturunan', 'mah', 'sama', 'aja', 'mempersempit', 'kolam', 'mereka', 'sendiri'];['belum', 'tentu', 'gak', 'semuanya', 'jadi', 'pemain', 'bola', 'dan', 'yg', 'milih', 'karir', 'sebagai', 'pemain', 'bola', 'pun', 'belum', 'tentu', 'kualitasnya', 'cukup', 'buat', 'timnas', 'kalau', 'pssi', 'cuma', 'fokus', 'ke', 'pemain', 'keturunan', 'mah', 'sama', 'aja', 'mempersempit', 'kolam', 'mereka', 'sendiri'];belum tentu gak semuanya jadi pemain bola dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas kalau pssi cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri;belum tentu gak semuanya jadi pemain bola dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas kalau pssi cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri;gak semua jadi main bola yg milih karir main bola belum tentu kualitas cukup buat timnas kalau pssi cuma fokus main turun sama aja sempit kolam sendiri
4;4;<username> <username> <username> Lu nya aja yg bego. Makanya nonton sendiri tolol. Persepsi orang beda* nggak harus sama bego. Memang coach tolol sty tolol out aja udah;negatif;   lu nya aja yg bego makanya nonton sendiri tolol persepsi orang beda nggak harus sama bego memang coach tolol sty tolol out aja udah;['lu', 'nya', 'aja', 'yg', 'bego', 'makanya', 'nonton', 'sendiri', 'tolol', 'persepsi', 'orang', 'beda', 'nggak', 'harus', 'sama', 'bego', 'memang', 'coach', 'tolol', 'sty', 'tolol', 'out', 'aja', 'udah'];['lu', 'nya', 'aja', 'yg', 'bego', 'makanya', 'nonton', 'sendiri', 'tolol', 'persepsi', 'orang', 'beda', 'nggak', 'harus', 'sama', 'bego', 'memang', 'coach', 'tolol', 'sty', 'tolol', 'out', 'aja', 'udah'];lu nya aja yg bego makanya nonton sendiri tolol persepsi orang beda nggak harus sama bego memang coach tolol sty tolol out aja udah;lu nya aja yg bego makanya nonton sendiri tolol persepsi orang beda nggak harus sama bego memang coach tolol sty tolol out aja udah;lu aja bego makanya nonton sendiri tolol persepsi orang beda harus sama bego memang coach tolol sty tolol out aja udah
5;5;<username> Saya punya saran kepada <username> <username> <username> kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita,. Jadi mohon disampaikan ke <username>. Ini ciri khas permainan kita!!!;negatif; saya punya saran kepada    kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita jadi mohon disampaikan ke  ini ciri khas permainan kita;['saya', 'punya', 'saran', 'kepada', 'kita', 'terkenal', 'dengan', 'pola', 'permainan', 'yang', 'cepat', 'jika', 'itu', 'dihilangkan', 'maka', 'itu', 'bahaya', 'besar', 'dalam', 'persepak', 'bolaan', 'kita', 'jadi', 'mohon', 'disampaikan', 'ke', 'ini', 'ciri', 'khas', 'permainan', 'kita'];['saya', 'punya', 'saran', 'kepada', 'kita', 'terkenal', 'dengan', 'pola', 'permainan', 'yang', 'cepat', 'jika', 'itu', 'dihilangkan', 'maka', 'itu', 'bahaya', 'besar', 'dalam', 'persepak', 'bolaan', 'kita', 'jadi', 'mohon', 'disampaikan', 'ke', 'ini', 'ciri', 'khas', 'permainan', 'kita'];saya punya saran kepada kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita jadi mohon disampaikan ke ini ciri khas permainan kita;saya punya saran kepada kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita jadi mohon disampaikan ke ini ciri khas permainan kita;punya saran kenal pola main cepat itu hilang itu bahaya besar sepak bola jadi mohon sampai ini ciri khas main kita
6;6;Ini STY ga coba asnawi jadi gelandang aja? VO2 max nya paling tinggi loh diantara pemain timnas.;negatif;ini sty ga coba asnawi jadi gelandang aja vo max nya paling tinggi loh diantara pemain timnas;['ini', 'sty', 'ga', 'coba', 'asnawi', 'jadi', 'gelandang', 'aja', 'vo', 'max', 'nya', 'paling', 'tinggi', 'loh', 'diantara', 'pemain', 'timnas'];['ini', 'sty', 'ga', 'coba', 'asnawi', 'jadi', 'gelandang', 'aja', 'vo', 'max', 'nya', 'paling', 'tinggi', 'loh', 'diantara', 'pemain', 'timnas'];ini sty ga coba asnawi jadi gelandang aja vo max nya paling tinggi loh diantara pemain timnas;ini sty ga coba asnawi jadi gelandang aja vo max nya paling tinggi loh diantara pemain timnas;sty ga coba asnawi jadi gelandang aja vo max paling tinggi antara main timnas
7;7;<username> <username> <username> Bukan masalah bnyak kesempatan, tiap taun juga bnyak turnament sebenernya, tpi gua rasa ini salah satu hajat besar pssi, tiap taun cuman bersaing di level asia tenggara. Di piala asia inilah kredibilitas ET/STY di pertaruhkan. Klo pildun mah merem dh jngn ketinggian ekspetasinya.;negatif;   bukan masalah bnyak kesempatan tiap taun juga bnyak turnament sebenernya tpi gua rasa ini salah satu hajat besar pssi tiap taun cuman bersaing di level asia tenggara di piala asia inilah kredibilitas etsty di pertaruhkan klo pildun mah merem dh jngn ketinggian ekspetasinya;['bukan', 'masalah', 'bnyak', 'kesempatan', 'tiap', 'taun', 'juga', 'bnyak', 'turnament', 'sebenernya', 'tpi', 'gua', 'rasa', 'ini', 'salah', 'satu', 'hajat', 'besar', 'pssi', 'tiap', 'taun', 'cuman', 'bersaing', 'di', 'level', 'asia', 'tenggara', 'di', 'piala', 'asia', 'inilah', 'kredibilitas', 'etsty', 'di', 'pertaruhkan', 'klo', 'pildun', 'mah', 'merem', 'dh', 'jngn', 'ketinggian', 'ekspetasinya'];['bukan', 'masalah', 'bnyak', 'kesempatan', 'tiap', 'taun', 'juga', 'bnyak', 'turnament', 'sebenernya', 'tpi', 'gua', 'rasa', 'ini', 'salah', 'satu', 'hajat', 'besar', 'pssi', 'tiap', 'taun', 'cuman', 'bersaing', 'di', 'level', 'asia', 'tenggara', 'di', 'piala', 'asia', 'inilah', 'kredibilitas', 'etsty', 'di', 'pertaruhkan', 'klo', 'pildun', 'mah', 'merem', 'dh', 'jngn', 'ketinggian', 'ekspetasinya'];bukan masalah bnyak kesempatan tiap taun juga bnyak turnament sebenernya tpi gua rasa ini salah satu hajat besar pssi tiap taun cuman bersaing di level asia tenggara di piala asia inilah kredibilitas etsty di pertaruhkan klo pildun mah merem dh jngn ketinggian ekspetasinya;bukan masalah bnyak kesempatan tiap taun juga bnyak turnament sebenernya tpi gua rasa ini salah satu hajat besar pssi tiap taun cuman bersaing di level asia tenggara di piala asia inilah kredibilitas etsty di pertaruhkan klo pildun mah merem dh jngn ketinggian ekspetasinya;bukan masalah bnyak sempat tiap taun bnyak turnament sebenernya tpi gua rasa salah satu hajat besar pssi tiap taun cuman saing level asia tenggara piala asia ini kredibilitas etsty taruh klo pildun merem dh jngn tinggi ekspetasinya
8;8;<username> Biasa, sty klo tantrum kan gtu. Semua hal dibawaÂ², mna gaada yg ngingetin pulaa.;negatif; biasa sty klo tantrum kan gtu semua hal dibawa mna gaada yg ngingetin pulaa;['biasa', 'sty', 'klo', 'tantrum', 'kan', 'gtu', 'semua', 'hal', 'dibawa', 'mna', 'gaada', 'yg', 'ngingetin', 'pulaa'];['biasa', 'sty', 'klo', 'tantrum', 'kan', 'gtu', 'semua', 'hal', 'dibawa', 'mna', 'gaada', 'yg', 'ngingetin', 'pulaa'];biasa sty klo tantrum kan gtu semua hal dibawa mna gaada yg ngingetin pulaa;biasa sty klo tantrum kan gtu semua hal dibawa mna gaada yg ngingetin pulaa;biasa sty klo tantrum kan gtu semua bawa mna gaada ngingetin pulaa
9;9;<username> Setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas Korsel yg gagal di era sty ðŸ¥²ðŸ¥²ðŸ¥²;negatif; setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas korsel yg gagal di era sty;['setelah', 'pulang', 'ke', 'tanah', 'air', 'apakah', 'akan', 'dilempari', 'telur', 'juga', 'layak', 'nya', 'timnas', 'korsel', 'yg', 'gagal', 'di', 'era', 'sty'];['setelah', 'pulang', 'ke', 'tanah', 'air', 'apakah', 'akan', 'dilempari', 'telur', 'juga', 'layak', 'nya', 'timnas', 'korsel', 'yg', 'gagal', 'di', 'era', 'sty'];setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas korsel yg gagal di era sty;setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas korsel yg gagal di era sty;pulang tanah air akan lempari telur layak timnas korsel gagal era sty
