;komentar;label;step01
0;<username> Simulasi indonesia kembali dijajah keturunan belanda kedepan... bye bye talenta anak bangsa lokal indonesia... bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya...;negatif; simulasi indonesia kembali dijajah keturunan belanda kedepan bye bye talenta anak bangsa lokal indonesia bubarkan liga dan pencarian bibit unggul atlet bola drpd rusak mental anak bangsanya
1;<username> <username> <username> keturunan lain yang gak main bola emang bisa di naturalisasi istimewa?   kepentingan negara itu sesuatu yg subjektif tergantung petingginya. akal akalan.  naturalisasi biasa wajib bisa bahasa indonesia.;negatif;   keturunan lain yang gak main bola emang bisa di naturalisasi istimewa kepentingan negara itu sesuatu yg subjektif tergantung petingginya akal akalan naturalisasi biasa wajib bisa bahasa indonesia
2;<username> <username> uda botak keturunan penjajah, sok si paling paham tentang bola lu. Coach mentok karir ngelatih futsal aja sok oke lu anjing;negatif;  uda botak keturunan penjajah sok si paling paham tentang bola lu coach mentok karir ngelatih futsal aja sok oke lu anjing
3;<username> <username> <username> Belum tentu, gak semuanya jadi pemain bola. Dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas. Kalau PSSI cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri.;negatif;   belum tentu gak semuanya jadi pemain bola dan yg milih karir sebagai pemain bola pun belum tentu kualitasnya cukup buat timnas kalau pssi cuma fokus ke pemain keturunan mah sama aja mempersempit kolam mereka sendiri
4;<username> <username> <username> Lu nya aja yg bego. Makanya nonton sendiri tolol. Persepsi orang beda* nggak harus sama bego. Memang coach tolol sty tolol out aja udah;negatif;   lu nya aja yg bego makanya nonton sendiri tolol persepsi orang beda nggak harus sama bego memang coach tolol sty tolol out aja udah
5;<username> Saya punya saran kepada <username> <username> <username> kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita,. Jadi mohon disampaikan ke <username>. Ini ciri khas permainan kita!!!;negatif; saya punya saran kepada    kita terkenal dengan pola permainan yang cepat jika itu dihilangkan maka itu bahaya besar dalam persepak bolaan kita jadi mohon disampaikan ke  ini ciri khas permainan kita
6;Ini STY ga coba asnawi jadi gelandang aja? VO2 max nya paling tinggi loh diantara pemain timnas.;negatif;ini sty ga coba asnawi jadi gelandang aja vo max nya paling tinggi loh diantara pemain timnas
7;<username> <username> <username> Bukan masalah bnyak kesempatan, tiap taun juga bnyak turnament sebenernya, tpi gua rasa ini salah satu hajat besar pssi, tiap taun cuman bersaing di level asia tenggara. Di piala asia inilah kredibilitas ET/STY di pertaruhkan. Klo pildun mah merem dh jngn ketinggian ekspetasinya.;negatif;   bukan masalah bnyak kesempatan tiap taun juga bnyak turnament sebenernya tpi gua rasa ini salah satu hajat besar pssi tiap taun cuman bersaing di level asia tenggara di piala asia inilah kredibilitas etsty di pe aruhkan klo pildun mah merem dh jngn ketinggian ekspetasinya
8;<username> Biasa, sty klo tantrum kan gtu. Semua hal dibawaÂ², mna gaada yg ngingetin pulaa.;negatif; biasa sty klo tantrum kan gtu semua hal dibawa mna gaada yg ngingetin pulaa
9;<username> Setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas Korsel yg gagal di era sty ðŸ¥²ðŸ¥²ðŸ¥²;negatif; setelah pulang ke tanah air apakah akan dilempari telur juga layak nya timnas korsel yg gagal di era sty
10;<username> <username> posisinya arhan double juga tuh sama edo, apa spesialnya bgst arhan, STY emang nih;negatif;  posisinya arhan double juga tuh sama edo apa spesialnya bgst arhan sty emang nih
11;yaampun coach sty rek, dendy teross;negatif;yaampun coach sty rek dendy teross
12;<username> gw mh yakin habis piala asia STY dipecat;negatif; gw mh yakin habis piala asia sty dipecat
13;Wew ga ngira Adam Alis yg dicoret sih...Di liga main ok, kemarin main ok, dan stok gelandang juga tipis banget...  Meanwhile striker rame beneerr...  Semoga STY ga salah pilihðŸ¤²;negatif;wew ga ngira adam alis yg dicoret sih di liga main ok kemarin main ok dan stok gelandang juga tipis banget meanwhile striker rame beneerr semoga sty ga salah pilih
14;<username> Tim sampah !!!!  Coachnya sampah, miskin taktik!!   Goblok!!!! Out aja sty out pelatih mentok !!!;negatif; tim sampah coachnya sampah miskin taktik goblok out aja sty out pelatih mentok
15;<username> Kenapa bukan Dendy S dn Dimas D....sty takut x sama bosnya mrk yaðŸ˜ðŸ˜ðŸ˜;negatif; kenapa bukan dendy dn dimas sty takut sama bosnya mrk ya
16;<username> gue curiga ne anak biar dicoret masuk list senior ma STY jadi masih peluang masuk Timnas Belanda..eeeh malah dibawa juga di Piala Asia ma STY ðŸ˜;negatif; gue curiga ne anak biar dicoret masuk list senior ma sty jadi masih peluang masuk timnas belanda eeeh malah dibawa juga di piala asia ma sty
17;<username> Dendi pasti nyimpen pap tt nya sty. Dimaninin terus tu bocah;negatif; dendi pasti nyimpen pap tt nya sty dimaninin terus tu bocah
18;<username> dendy punya vidio sty lagi ngocokk makanya di panggil terus;negatif; dendy punya vidio sty lagi ngocokk makanya di panggil terus
19;<username> <username> Pokoknya percaya penuh soal STY kecuali perihal mempertahankan Dendy di skuadðŸ™„;negatif;  pokoknya percaya penuh soal sty kecuali perihal mempe ahankan dendy di skuad
